  n v                   Fn         time
--- - -------------------- ------------
  0  1                    0  0.000000000
  0  2                    0  0.000000000
  0  3                    0  0.000000000
  0  4                    0  0.000000000
--- -- -------------------- ------------
  1  1                    1  0.000000000
  1  2                    1  0.000000000
  1  3                    1  0.000000000
  1  4                    1  0.000000000
--- -- -------------------- ------------
  2  1                    1  0.000000000
  2  2                    1  0.000000000
  2  3                    1  0.000000000
  2  4                    1  0.000000000
--- -- -------------------- ------------
  3  1                    2  0.000000000
  3  2                    2  0.000000000
  3  3                    2  0.000000000
  3  4                    2  0.000000000
--- -- -------------------- ------------
  4  1                    3  0.000000000
  4  2                    3  0.000000000
  4  3                    3  0.000000000
  4  4                    3  0.000000000
--- -- -------------------- ------------
  5  1                    5  0.000000000
  5  2                    5  0.000000000
  5  3                    5  0.000000000
  5  4                    5  0.000000000
--- -- -------------------- ------------
  6  1                    8  0.000000000
  6  2                    8  0.000000000
  6  3                    8  0.000000000
  6  4                    8  0.000000000
--- -- -------------------- ------------
  7  1                   13  0.000000000
  7  2                   13  0.000000000
  7  3                   13  0.000000000
  7  4                   13  0.000000000
--- -- -------------------- ------------
  8  1                   21  0.000000000
  8  2                   21  0.000000000
  8  3                   21  0.000000000
  8  4                   21  0.000000000
--- -- -------------------- ------------
  9  1                   34  0.000000000
  9  2                   34  0.000000000
  9  3                   34  0.000000000
  9  4                   34  0.000000000
--- -- -------------------- ------------
 10  1                   55  0.000000000
 10  2                   55  0.000000000
 10  3                   55  0.000000000
 10  4                   55  0.000000000
--- -- -------------------- ------------
 11  1                   89  0.000000000
 11  2                   89  0.000000000
 11  3                   89  0.000000000
 11  4                   89  0.000000000
--- -- -------------------- ------------
 12  1                  144  0.000000000
 12  2                  144  0.000000000
 12  3                  144  0.000000000
 12  4                  144  0.000000000
--- -- -------------------- ------------
 13  1                  233  0.000000000
 13  2                  233  0.000000000
 13  3                  233  0.000000000
 13  4                  233  0.000000000
--- -- -------------------- ------------
 14  1                  377  0.000000000
 14  2                  377  0.000000000
 14  3                  377  0.000000000
 14  4                  377  0.000000000
--- -- -------------------- ------------
 15  1                  610  0.000000000
 15  2                  610  0.000000000
 15  3                  610  0.000000000
 15  4                  610  0.000000000
--- -- -------------------- ------------
 16  1                  987  0.000000000
 16  2                  987  0.000000000
 16  3                  987  0.000000000
 16  4                  987  0.000000000
--- -- -------------------- ------------
 17  1                 1597  0.000000000
 17  2                 1597  0.000000000
 17  3                 1597  0.000000000
 17  4                 1597  0.000000000
--- -- -------------------- ------------
 18  1                 2584  0.000000000
 18  2                 2584  0.000000000
 18  3                 2584  0.000000000
 18  4                 2584  0.000000000
--- -- -------------------- ------------
 19  1                 4181  0.000000000
 19  2                 4181  0.000000000
 19  3                 4181  0.000000000
 19  4                 4181  0.000000000
--- -- -------------------- ------------
 20  1                 6765  0.000000000
 20  2                 6765  0.000000000
 20  3                 6765  0.000000000
 20  4                 6765  0.000000000
--- -- -------------------- ------------
 21  1                10946  0.000000000
 21  2                10946  0.000000000
 21  3                10946  0.000000000
 21  4                10946  0.000000000
--- -- -------------------- ------------
 22  1                17711  0.000000000
 22  2                17711  0.000000000
 22  3                17711  0.000000000
 22  4                17711  0.000000000
--- -- -------------------- ------------
 23  1                28657  0.000000000
 23  2                28657  0.000000000
 23  3                28657  0.000000000
 23  4                28657  0.000000000
--- -- -------------------- ------------
 24  1                46368  0.000000000
 24  2                46368  0.000000000
 24  3                46368  0.000000000
 24  4                46368  0.000000000
--- -- -------------------- ------------
 25  1                75025  0.000000000
 25  2                75025  0.000000000
 25  3                75025  0.000000000
 25  4                75025  0.000000000
--- -- -------------------- ------------
 26  1               121393  0.000000000
 26  2               121393  0.000000000
 26  3               121393  0.000000000
 26  4               121393  0.000000000
--- -- -------------------- ------------
 27  1               196418  0.000000000
 27  2               196418  0.000000000
 27  3               196418  0.000000000
 27  4               196418  0.000000000
--- -- -------------------- ------------
 28  1               317811  0.015625000
 28  2               317811  0.000000000
 28  3               317811  0.000000000
 28  4               317811  0.000000000
--- -- -------------------- ------------
 29  1               514229  0.000000000
 29  2               514229  0.000000000
 29  3               514229  0.000000000
 29  4               514229  0.000000000
--- -- -------------------- ------------
 30  1               832040  0.000000000
 30  2               832040  0.000000000
 30  3               832040  0.000000000
 30  4               832040  0.000000000
--- -- -------------------- ------------
 31  1              1346269  0.015625000
