         n;      F_v1;      F_v2;      F_v3;      F_v4
         0;  0.000000;  0.000000;  0.000000;  0.000000
         1;  0.000000;  0.000000;  0.000000;  0.000000
         2;  0.000000;  0.000000;  0.000000;  0.000000
         3;  0.000000;  0.000000;  0.000000;  0.000000
         4;  0.000000;  0.000000;  0.000000;  0.000000
         5;  0.000000;  0.000000;  0.000000;  0.000000
         6;  0.000000;  0.000000;  0.000000;  0.000000
         7;  0.000000;  0.000000;  0.000000;  0.000000
         8;  0.000000;  0.000000;  0.000000;  0.000000
         9;  0.000000;  0.000000;  0.000000;  0.000000
        10;  0.000000;  0.000000;  0.000000;  0.000000
        11;  0.000000;  0.000000;  0.000000;  0.000000
        12;  0.000000;  0.000000;  0.000000;  0.000000
        13;  0.000000;  0.000000;  0.000000;  0.000000
        14;  0.000000;  0.000000;  0.000000;  0.000000
        15;  0.000000;  0.000000;  0.000000;  0.000000
        16;  0.000000;  0.000000;  0.000000;  0.000000
        17;  0.000000;  0.000000;  0.000000;  0.000000
        18;  0.000000;  0.000000;  0.000000;  0.000000
        19;  0.000000;  0.000000;  0.000000;  0.000000
        20;  0.000000;  0.000000;  0.000000;  0.000000
        21;  0.000000;  0.000000;  0.000000;  0.000000
        22;  0.000000;  0.000000;  0.000000;  0.000000
        23;  0.000000;  0.000000;  0.000000;  0.000000
        24;  0.000000;  0.000000;  0.000000;  0.000000
        25;  0.000000;  0.000000;  0.000000;  0.000000
        26;  0.000000;  0.000000;  0.000000;  0.000000
        27;  0.000000;  0.000000;  0.000000;  0.000000
        28;  0.015625;  0.000000;  0.000000;  0.000000
        29;  0.000000;  0.000000;  0.000000;  0.000000
        30;  0.000000;  0.000000;  0.000000;  0.000000
        31;  0.015625;  0.000000;  0.000000;  0.000000
        32;  0.000000;  0.000000;  0.000000;  0.000000
        33;  0.031250;  0.000000;  0.000000;  0.000000
        34;  0.015625;  0.000000;  0.000000;  0.000000
        35;  0.046875;  0.000000;  0.000000;  0.000000
        36;  0.062500;  0.000000;  0.000000;  0.000000
        37;  0.093750;  0.000000;  0.000000;  0.000000
        38;  0.187500;  0.000000;  0.000000;  0.000000
        39;  0.281250;  0.000000;  0.000000;  0.000000
        40;  0.453125;  0.000000;  0.000000;  0.000000
        41;  0.671875;  0.000000;  0.000000;  0.000000
        42;  1.062500;  0.000000;  0.000000;  0.000000
        43;  1.718750;  0.000000;  0.000000;  0.000000
        44;  2.718750;  0.000000;  0.000000;  0.000000
        45;  4.468750;  0.000000;  0.000000;  0.000000
        46;  7.234375;  0.000000;  0.000000;  0.000000
        47; 11.906250;  0.000000;  0.000000;  0.000000
        48; 11.906250;  0.000000;  0.000000;  0.000000
        49; 11.906250;  0.000000;  0.000000;  0.000000
        50; 11.906250;  0.000000;  0.000000;  0.000000
        51; 11.906250;  0.000000;  0.000000;  0.000000
        52; 11.906250;  0.000000;  0.000000;  0.000000
        53; 11.906250;  0.000000;  0.000000;  0.000000
        54; 11.906250;  0.000000;  0.000000;  0.000000
        55; 11.906250;  0.000000;  0.000000;  0.000000
        56; 11.906250;  0.000000;  0.000000;  0.000000
        57; 11.906250;  0.000000;  0.000000;  0.000000
        58; 11.906250;  0.000000;  0.000000;  0.000000
        59; 11.906250;  0.000000;  0.000000;  0.000000
        60; 11.906250;  0.000000;  0.000000;  0.000000
        61; 11.906250;  0.000000;  0.000000;  0.000000
        62; 11.906250;  0.000000;  0.000000;  0.000000
        63; 11.906250;  0.000000;  0.000000;  0.000000
        64; 11.906250;  0.000000;  0.000000;  0.000000
        65; 11.906250;  0.000000;  0.000000;  0.000000
        66; 11.906250;  0.000000;  0.000000;  0.000000
        67; 11.906250;  0.000000;  0.000000;  0.000000
        68; 11.906250;  0.000000;  0.000000;  0.000000
        69; 11.906250;  0.000000;  0.000000;  0.000000
        70; 11.906250;  0.000000;  0.000000;  0.000000
        71; 11.906250;  0.000000;  0.000000;  0.000000
        72; 11.906250;  0.000000;  0.000000;  0.000000
        73; 11.906250;  0.000000;  0.000000;  0.000000
        74; 11.906250;  0.000000;  0.000000;  0.000000
        75; 11.906250;  0.000000;  0.000000;  0.000000
        76; 11.906250;  0.000000;  0.000000;  0.000000
        77; 11.906250;  0.000000;  0.000000;  0.000000
        78; 11.906250;  0.000000;  0.000000;  0.000000
        79; 11.906250;  0.000000;  0.000000;  0.000000
        80; 11.906250;  0.000000;  0.000000;  0.000000
        81; 11.906250;  0.000000;  0.000000;  0.000000
        82; 11.906250;  0.000000;  0.000000;  0.000000
        83; 11.906250;  0.000000;  0.000000;  0.000000
        84; 11.906250;  0.000000;  0.000000;  0.000000
        85; 11.906250;  0.000000;  0.000000;  0.000000
        86; 11.906250;  0.000000;  0.000000;  0.000000
        87; 11.906250;  0.000000;  0.000000;  0.000000
        88; 11.906250;  0.000000;  0.000000;  0.000000
        89; 11.906250;  0.000000;  0.000000;  0.000000
        90; 11.906250;  0.000000;  0.000000;  0.000000
        91; 11.906250;  0.000000;  0.000000;  0.000000
        92; 11.906250;  0.000000;  0.000000;  0.000000
        93; 11.906250;  0.000000;  0.000000;  0.000000
        94; 11.906250;  0.000000;  0.000000;  0.000000
        95; 11.906250;  0.000000;  0.000000;  0.000000
        96; 11.906250;  0.000000;  0.000000;  0.000000
        97; 11.906250;  0.000000;  0.000000;  0.000000
        98; 11.906250;  0.000000;  0.000000;  0.000000
        99; 11.906250;  0.000000;  0.000000;  0.000000
       100; 11.906250;  0.000000;  0.000000;  0.000000
